# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) version 2, resampled to 1 nm box means.
# Source: Coddington et al. (2023), Earth and Space Science, doi:10.1029/2022EA002637
# Archive: LASP LISIRD, https://lasp.colorado.edu/lisird/latis/dap/tsis1_hsrs.csv (native 0.001-0.01 nm sampling)
# Method: unweighted mean of every native sample falling in [n, n+1) nm; bin labelled by its lower edge.
# Irradiance is solar spectral irradiance at 1 AU, W m^-2 nm^-1, solar-minimum conditions between cycles 24 and 25.
# Archive uncertainty is 0.3% over 460-2365 nm and 1.3% outside it.
# Generated by scripts/build_table.py; do not hand-edit.
wavelength_nm,irradiance_w_m2_nm,uncertainty_w_m2_nm,n_samples
401,1.751067e+00,8.755e-03,1000
402,1.823225e+00,9.116e-03,1000
403,1.677519e+00,8.388e-03,1000
404,1.646583e+00,8.233e-03,1000
405,1.723415e+00,8.617e-03,1000
406,1.620062e+00,8.100e-03,1000
407,1.633940e+00,8.170e-03,1000
408,1.826133e+00,9.131e-03,1000
409,1.794476e+00,8.972e-03,1000
410,1.556976e+00,7.785e-03,1000
411,1.855913e+00,9.280e-03,1000
412,1.838105e+00,9.191e-03,1000
413,1.778028e+00,8.890e-03,1000
414,1.816581e+00,9.083e-03,1000
415,1.731070e+00,8.655e-03,1000
416,1.882551e+00,9.413e-03,1000
417,1.713765e+00,8.569e-03,1000
418,1.710382e+00,8.552e-03,1000
419,1.767733e+00,8.839e-03,1000
420,1.770477e+00,8.852e-03,1000
421,1.839370e+00,9.197e-03,1000
422,1.635354e+00,8.177e-03,1000
423,1.780358e+00,8.902e-03,1000
424,1.775034e+00,8.875e-03,1000
425,1.719657e+00,8.598e-03,1000
426,1.734949e+00,8.675e-03,1000
427,1.592479e+00,7.962e-03,1000
428,1.673584e+00,8.368e-03,1000
429,1.534257e+00,7.671e-03,1000
430,1.125775e+00,5.629e-03,1000
431,1.566678e+00,7.833e-03,1000
432,1.683476e+00,8.417e-03,1000
433,1.840604e+00,9.203e-03,1000
434,1.588323e+00,7.942e-03,1000
435,1.797021e+00,8.985e-03,1000
436,1.931530e+00,9.658e-03,1000
437,1.818386e+00,9.092e-03,1000
438,1.614211e+00,8.071e-03,1000
439,1.827369e+00,9.137e-03,1000
440,1.726415e+00,8.632e-03,1000
441,1.937398e+00,9.687e-03,1000
442,2.015191e+00,1.008e-02,1000
443,1.945124e+00,9.726e-03,1000
444,2.010467e+00,1.005e-02,1000
445,1.904883e+00,9.524e-03,1000
446,1.896425e+00,9.482e-03,1000
447,2.079306e+00,1.040e-02,1000
448,2.019550e+00,1.010e-02,1000
449,2.011646e+00,1.006e-02,1000
450,2.156526e+00,1.078e-02,1000
451,2.123680e+00,1.062e-02,1000
452,2.031158e+00,1.016e-02,1000
453,1.962743e+00,9.814e-03,1000
454,2.077589e+00,1.039e-02,1000
455,1.985688e+00,9.928e-03,1000
456,2.135058e+00,1.068e-02,1000
457,2.136253e+00,1.068e-02,1000
458,2.005420e+00,1.003e-02,1000
459,2.045937e+00,1.023e-02,1000
460,2.069863e+00,6.214e-03,1000
461,2.134724e+00,6.404e-03,1000
462,2.118180e+00,6.355e-03,1000
463,2.086452e+00,6.259e-03,1000
464,2.018577e+00,6.056e-03,1000
465,2.061226e+00,6.184e-03,1000
466,2.000470e+00,6.001e-03,1000
467,2.082520e+00,6.248e-03,1000
468,2.034840e+00,6.105e-03,1000
