# Hipparcos bright-star supplement for Gaia DR3 — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2016.00 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.0222 +1.0109*Hp -0.4422*(B-V) when B-V is present,
# else the fallback G ≈ -0.2005 +0.9990*Hp.
hip,ra_j2016,dec_j2016,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
98028,298.800236,46.665376,6.9300,4.3600,-42.1100,0.3670,7.5732
81821,250.695557,-27.187856,2.5800,-28.3600,-34.1100,1.7670,7.2372
86195,264.213262,-65.599011,1.2700,6.3200,-8.9600,1.4070,7.6896
28034,88.922016,52.977552,1.4900,18.0000,-44.5400,1.1300,7.5998
36329,112.171185,-21.804640,0.6300,-4.5500,6.2900,1.3820,6.7706
29488,93.192999,-17.763213,3.4800,-6.6800,4.0400,-0.1660,6.6868
18295,58.685697,50.346415,-0.6600,-1.2900,0.0100,0.0800,8.9233
44598,136.282912,-47.045694,2.1800,-12.0900,7.7600,-0.0780,9.0033
22131,71.439417,74.249959,3.2500,-8.3300,-1.9600,0.9400,8.3712
41442,126.779281,-51.553399,2.4200,-6.3700,6.7000,0.0650,9.0311
46814,143.100917,-65.494580,1.6800,4.3600,-3.7300,0.6270,8.2164
45449,138.938482,-53.483051,1.9200,-2.8900,-3.2100,1.0760,8.0785
74869,229.500958,-68.581568,2.3000,-5.6400,-4.2400,-0.2000,8.0767
4538,14.532021,55.824369,1.1500,-3.1400,-1.6200,0.0200,8.2422
87795,269.026781,-67.250946,5.2700,-6.0200,-37.7700,0.9900,7.4291
85902,263.308618,-45.511336,3.2800,5.3700,-8.9100,0.0330,7.1548
46434,142.051373,-49.124080,2.1900,-1.1400,-2.2400,0.9750,8.2041
53542,164.296658,-44.809714,10.9200,-32.3500,0.4700,0.3380,7.3232
51971,159.278395,-55.195150,7.7600,-89.5500,25.9700,0.6320,7.8604
98921,301.292258,38.478953,52.9900,263.3500,111.5700,0.6540,5.9805
81711,250.349714,-46.385774,0.9900,-1.5600,-13.5500,0.0990,8.1972
34055,105.964965,12.594212,2.5800,-6.6900,-6.8700,1.5840,5.3974
100273,305.085186,-32.959368,9.7600,21.2000,-1.4500,0.9840,7.9979
95682,291.925844,12.487739,3.8300,28.8400,-18.2500,1.4710,6.8424
92304,282.197523,-30.097692,13.2000,-39.6200,-181.0100,0.7370,8.6126
