# Hipparcos bright-star supplement — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2015.00 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.3780 +0.9685*Hp -0.5216*(B-V) when B-V is present,
# else the fallback G ≈ +0.1472 +0.9499*Hp.
hip,ra,dec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
44286,135.289872,-19.342290,9.2100,-11.2700,-18.3900,0.2260,7.5916
34246,106.490665,-42.327404,7.0300,-12.6700,25.3500,-0.0180,7.3702
49648,152.022770,-60.933331,5.2300,-42.5700,-14.9200,0.5000,8.3106
32055,100.460964,14.216582,6.5200,7.9600,-24.1000,0.0510,6.9371
3339,10.641434,37.222434,2.4900,17.7500,0.5100,1.5760,7.4879
27253,86.645133,1.167603,23.5700,-80.0500,-141.7900,0.7730,5.7373
44009,134.424153,-63.704063,7.0200,-10.2600,-18.0500,0.2930,8.6510
68320,209.787803,-69.577053,1.4600,-21.5200,-12.1800,1.0800,8.5214
23132,74.663592,34.392287,5.4100,-10.2700,-3.4400,0.4250,7.8752
2599,8.250002,62.931774,0.7900,3.9900,-2.1000,0.1300,4.3488
47880,146.369395,10.221893,1.5600,14.1500,-8.6100,1.6200,6.2156
24850,79.912399,15.785977,6.9100,-6.4400,-4.9300,0.3270,8.2749
93352,285.218272,-39.073360,5.5600,-12.9600,-28.1200,1.0520,7.4222
27878,88.494749,12.418353,18.6400,-8.4400,-260.1500,0.5900,7.5857
33878,105.484875,-5.722038,4.7800,-14.4900,6.5800,1.6870,4.5536
10918,35.139718,33.521583,3.5900,2.7100,-4.7900,1.0090,8.0451
22976,74.164068,-49.846231,4.0800,15.3000,14.1400,0.4300,8.6280
39386,120.781357,-62.132768,3.5900,-3.7000,10.6100,-0.0160,8.2408
49841,152.646135,-12.354501,28.4400,-200.3300,-100.2800,1.0070,3.3490
70693,216.881214,-35.447465,10.7800,33.7900,-55.0300,0.5710,6.7530
30946,97.431241,72.021181,4.6900,-3.3100,-24.9300,0.0600,8.3270
97822,298.173087,38.821656,2.5100,-7.3300,-7.2100,0.9480,7.6798
50883,155.850870,-50.348238,15.7500,-148.0900,57.1000,0.5010,7.7774
33416,104.234093,68.193891,3.0800,-0.2300,0.0600,-0.0020,8.4756
90074,275.721144,-36.669664,5.2700,-1.6900,-25.9700,-0.1210,5.6032
2444,7.771576,-10.084117,11.6900,-33.7300,-38.9900,0.6360,8.2397
99342,302.449062,27.331393,3.3300,-9.0300,-17.3900,1.6600,7.1729
51523,157.837977,-53.714611,45.7200,-418.7600,209.4600,0.5000,4.8531
85577,262.320039,-57.411816,2.9000,-0.6500,-9.4900,1.0240,7.6015
34805,108.075656,-67.783591,21.6200,198.5100,-202.9400,0.7370,7.0926
31434,98.800254,28.022262,7.3000,-0.4100,-12.4600,-0.0080,5.4764
107488,326.569276,43.060809,2.5100,15.8400,9.1100,0.2780,6.5475
100034,304.432659,19.247817,8.9100,16.5100,-19.8600,0.4730,8.1019
19004,61.078319,-15.725195,4.5600,-3.3900,-13.8200,1.3170,7.9813
34136,106.168183,35.579232,14.2700,-5.8500,-12.2100,0.6750,8.3355
113,0.365618,49.010398,0.2700,-0.2900,-1.9700,0.0210,9.0156
9021,29.039974,37.251874,10.1800,182.8800,10.5400,1.0600,5.3358
67610,207.806738,-60.629213,4.2900,13.6900,3.1500,0.4980,8.1276
76475,234.293274,-78.877537,7.0800,-60.2800,-38.6500,0.4610,7.6336
83897,257.199082,-45.154624,5.0200,23.8200,-12.0900,1.0770,8.3777
43717,133.553162,-43.498922,1.8300,-5.6600,7.9100,1.6400,6.2729
58015,178.490443,-56.860256,2.8100,-10.6800,-0.6100,-0.0150,9.1022
13143,42.260881,-4.224888,2.9800,5.2100,-13.1700,1.6240,6.2232
62131,191.002072,-28.324121,8.2200,-29.5400,-39.4100,1.3460,4.9639
9491,30.527801,60.294846,2.9000,7.8800,-5.9600,0.0760,8.0959
4229,13.487299,21.030976,4.1400,-23.1600,7.1700,1.1160,8.0184
37527,115.536179,-31.095674,-0.0200,-0.6400,2.4100,1.2760,8.4095
6939,22.348354,25.275372,6.7500,64.0900,4.6700,1.1990,6.2027
34693,107.784728,30.244961,10.8100,-31.0000,-48.4000,1.2610,3.9913
46869,143.258036,-8.505518,8.3000,-43.8000,-34.6000,0.9740,5.7971
98186,299.294410,30.856323,3.2300,3.7600,0.4800,-0.0510,7.6779
84025,257.643100,-50.054205,3.4700,-5.1600,-6.8800,0.0410,8.8599
1526,4.752130,60.335287,1.0800,0.6800,-1.1800,0.5920,7.6525
50336,154.173393,25.370719,10.3500,-128.5100,3.1800,1.2060,5.4049
66951,205.835480,53.757033,5.9500,-8.2400,3.7500,0.0400,9.0445
68041,208.974458,-61.503763,-1.7100,-8.3500,-6.2500,0.1580,8.9926
14958,48.209041,55.340262,3.5100,-5.6600,1.6000,1.4620,7.6054
30480,96.110997,-63.429413,31.4600,19.3700,-116.0000,0.6600,6.2805
108959,331.123855,26.665217,3.3100,6.4000,-2.0600,1.0320,8.4689
104242,316.801104,36.950162,1.2300,2.7100,0.7400,-0.0130,8.3167
85250,261.306066,-34.430198,13.1300,-1.2500,-56.0300,0.9620,6.4522
96164,293.291990,60.158713,2.7100,3.9400,5.2900,1.5800,5.6553
98320,299.643173,38.105697,1.8500,3.6300,0.8300,-0.0900,6.5555
104839,318.569750,-10.605394,5.4100,15.3100,-0.0900,-0.0680,6.9701
72556,222.504296,-62.330781,2.9300,-5.2500,-5.0300,-0.0180,7.5542
79242,242.548604,-84.231741,27.8800,-337.5900,-31.1500,0.7900,7.4233
35005,108.635705,12.115754,9.8500,-50.0900,-17.0200,1.0070,5.3828
96360,293.882692,20.821980,4.3500,3.1600,-6.4700,-0.0050,8.3997
72268,221.683913,7.281387,2.5800,-26.0000,-2.5800,1.5840,6.5539
34105,106.076461,-56.749712,11.5500,10.9900,2.8500,-0.0320,5.3727
112102,340.592107,-29.361126,5.3700,16.2400,-19.1900,1.5220,5.5113
6359,20.419392,51.096422,-0.1400,-2.0800,-5.5300,0.1360,9.0235
27835,88.345248,-42.921285,4.8700,5.8800,10.9000,1.3700,6.0070
74622,228.706832,-42.319754,2.5700,-21.3800,-1.9000,0.0000,7.6320
109974,334.114083,47.975737,4.0800,-1.8500,3.9800,0.0850,8.8854
41911,128.178676,-37.469373,7.3000,-41.9600,12.2300,0.5950,8.0867
43961,134.293636,-1.351273,4.9400,-44.4200,20.4300,0.5600,8.6183
32040,100.407229,35.931820,12.7100,-17.8100,-25.9000,0.5090,6.3883
65236,200.530856,-60.184991,1.0000,-5.0100,-1.0300,-0.0150,7.0878
5223,16.695435,35.572144,3.0300,-8.8400,-17.7700,1.4230,7.2965
47314,144.621700,6.445780,4.5500,-49.3900,28.7400,1.1390,7.7449
36897,113.789444,-31.500962,13.4400,-72.0000,211.0800,0.9230,8.1965
58531,180.040293,86.994413,3.7900,-38.4000,-4.7300,0.1350,8.1233
109473,332.659743,40.263826,3.3500,-6.2900,26.6400,0.3580,8.4718
8160,26.239749,-28.726863,5.6600,-22.3800,-76.0800,1.5740,6.2880
87953,269.510807,-59.701096,5.0600,-2.2100,-14.8900,0.3720,8.6292
30587,96.426876,-35.697369,4.0200,-7.1200,9.2700,-0.0490,8.0352
83201,255.057226,-55.106073,1.3300,-13.1200,-17.6400,1.5440,7.5724
60841,187.060080,-70.545116,6.0000,-41.8000,0.3300,1.4400,7.0261
5121,16.403549,-9.979465,10.5800,-30.4800,-34.2400,1.0120,5.7482
4550,14.553130,70.496346,4.1900,9.4700,-3.5900,-0.0540,7.1565
71920,220.647291,-54.578726,0.8000,-11.5800,-10.7400,0.1470,8.8918
47385,144.809114,-48.105730,6.2600,-59.1600,20.1900,0.3970,8.8001
1614,5.046370,30.281178,0.3200,-0.0200,1.4400,1.3190,8.3967
6368,20.451895,-1.997059,3.7300,16.2000,-4.3700,0.3800,8.4313
16142,52.003940,-11.286793,9.5800,-1.4800,-46.3900,1.1020,5.3623
23459,75.632772,-50.445247,4.1700,23.8300,26.2700,0.2260,7.9596
13149,42.275467,83.873579,2.4900,-11.6100,-1.7800,1.6250,7.5882
47615,145.639684,-75.925904,5.3500,-34.3000,8.7900,0.2400,8.7949
74101,227.166098,-55.794919,0.6800,2.4400,-9.5300,0.0000,8.5327
36192,111.798702,-64.240526,3.1900,-34.5300,-13.2400,1.2410,7.5851
94624,288.833714,15.083605,5.3200,1.0400,-11.1700,1.0670,5.2256
44250,135.172168,-54.362350,3.1900,-9.9500,15.9000,0.0220,7.8336
64425,198.073080,-59.920652,9.4200,-28.5400,-17.4600,-0.0730,4.8517
25567,81.975982,1.105050,5.2900,2.0300,-0.2000,-0.0870,7.9776
39586,121.338649,-14.674296,-0.7300,-3.1300,4.0700,1.5560,8.0697
99255,302.222496,77.711518,9.9700,11.1100,23.7200,-0.0460,4.6440
41211,126.145013,-3.751348,36.7500,-211.0000,-25.8300,0.4780,5.5619
48925,149.713516,-14.143018,7.8900,-27.9600,8.7000,0.2600,7.8063
44685,136.593904,49.611387,2.1900,2.7700,-1.2200,-0.1760,7.7238
74539,228.472071,-26.193587,3.5500,-14.0100,-4.1700,1.1390,5.4399
73551,225.480372,-67.398783,1.4100,-0.8000,-12.4500,1.5370,8.0893
65321,200.817319,-60.227254,4.9200,-11.3400,-9.4200,1.1060,7.6071
102137,310.456270,22.572505,2.6400,2.9700,-7.8300,0.0170,8.5722
112067,340.489805,14.516305,12.2200,94.5500,-21.2100,1.1140,5.5304
29017,91.847281,3.091662,3.2300,-5.6400,-4.1700,-0.0450,7.9750
39794,121.982129,-68.616935,5.0800,-29.8800,30.5800,-0.1130,4.6499
53766,165.010498,22.025978,4.8100,-29.3300,-17.4000,1.1220,6.8530
93758,286.404002,27.407303,3.3600,2.0300,-6.9900,0.0430,8.2972
83030,254.508177,-68.459411,2.7400,-0.9500,4.0800,1.5760,7.0908
17448,56.079757,32.288205,2.2100,8.1100,-10.3200,0.0220,4.0855
49065,150.181621,-82.214540,8.1700,-26.9900,31.1100,0.0350,5.7155
51214,156.914270,-51.590721,2.4400,-27.3700,2.3100,1.5470,7.7451
46444,142.087189,-10.318843,0.6600,-15.6100,-0.4500,1.4270,7.2363
78855,241.456069,-46.084918,1.2700,-2.3500,-13.1100,0.1590,7.7331
86406,264.836459,-43.164721,1.4000,-8.3700,-15.1900,1.6700,7.0902
16320,52.590658,-54.808088,5.4500,25.2400,28.3000,0.9100,7.5350
